Name,Smin,Smax,Smed,SSD,Nobs,B-V,logRhk,Age,I10,C,SimbadName,_RA,_DE
"HD 197076",0.1693,0.1933,0.1783,0.00689,213,0.595,-4.871,3.49,1,1,"HD 197076 ",310.18809,19.93554
"HD 195019",0.1547,0.1617,0.1604,0.00141,33,0.635,-4.989,5.36,1,0,"HD 195019 ",307.07765,18.76949
"HD 195019B",0.6661,0.8029,0.7693,0.04742,7,1.237,-4.788,2.58,1,0,"HD 195019B",307.07716,18.77038
"HD 190406",0.1746,0.2158,0.1815,0.00522,189,0.583,-4.85,3.23,1,1,"HD 190406 ",301.02592,17.07019
"HD 189733",0.486,0.5535,0.5099,0.01283,126,0.883,-4.445,0.61,1,0,"HD 189733 ",300.18214,22.71085
"HD 190404",0.1599,0.1652,0.1631,0.00101,55,0.737,-5.005,5.7,1,0,"HD 190404 ",300.9672,23.34069
"HD 193795",0.1547,0.1587,0.1564,0.00135,13,0.631,-5.013,5.86,1,0,"HD 193795 ",305.31346,28.10683
"HD 198425",0.3791,0.5261,0.4273,0.02988,33,0.898,-4.548,1.09,1,0,"HD 198425 ",312.31763,32.28479
"HD 201092",0.7206,1.096,0.8763,0.08626,296,1.08,-4.476,0.76,1,0,"HD 201092 ",316.73027,38.74204
"HD 201091",0.4956,0.7025,0.5871,0.04116,291,1.153,-4.77,2.41,1,1,"HD 201091 ",316.72475,38.74942
"HD 208313",0.2174,0.344,0.2615,0.02874,78,0.872,-4.774,2.44,1,1,"HD 208313 ",328.68766,32.32857
"HD 213472",0.1419,0.1501,0.1463,0.00113,63,0.651,-5.092,7.67,1,0,"HD 213472 ",337.70822,40.72206
"HD 219538",0.1927,0.2815,0.2361,0.0166,80,0.846,-4.809,2.77,1,1,"HD 219538 ",349.07566,30.67021
"HD 218868",0.1701,0.223,0.2001,0.01128,148,0.732,-4.842,3.13,1,1,"HD 218868 ",347.70866,45.51227
"HD 220221",0.5046,0.6435,0.566,0.04484,29,0.996,-4.545,1.08,1,0,"HD 220221 ",350.43521,45.17605
"HD 213519",0.1504,0.1541,0.1531,0.00107,19,0.623,-5.033,6.29,1,0,"HD 213519 ",337.77385,45.1451
"HD 239960",0.6674,2.782,0.8526,0.32034,48,1.397,-4.995,5.49,1,1,"HD 239960 ",336.9978,57.6959
"HD 219134",0.2017,0.3322,0.2465,0.03187,575,0.971,-4.904,3.95,1,1,"HD 219134 ",348.32073,57.16836
"HD 221354",0.1515,0.1645,0.1564,0.00171,467,0.795,-5.055,6.78,1,1,"HD 221354 ",352.84254,59.16552
"HD 187237",0.2005,0.2372,0.2114,0.0118,16,0.621,-4.74,2.17,1,0,"HD 187237 ",297.00367,27.86953
"HD 188015",0.1556,0.1764,0.1613,0.00519,38,0.694,-5.003,5.64,1,0,"HD 188015 ",298.01893,28.10037
"HD 190360",0.1416,0.1516,0.146,0.00139,280,0.725,-5.105,8.03,1,0,"HD 190360 ",300.90585,29.8968
"HD 177830",0.1236,0.1322,0.1296,0.00118,135,1.049,-5.311,14.63,1,0,"HD 177830 ",286.33655,25.92066
"HD 176377",0.1719,0.1925,0.1805,0.0029,176,0.572,-4.85,3.23,1,0,"HD 176377 ",284.71251,30.18064
"HD G207-019",0.542,0.735,0.6457,0.05899,9,1.388,-5.102,7.93,0,0,"G207-019  ",287.12469,32.281
"HD 178911B",0.1633,0.1989,0.1816,0.00744,37,0.718,-4.909,4.01,1,0,"HD 178911B",287.26291,34.59985
"HD 183650",0.1468,0.1524,0.1495,0.00105,43,0.692,-5.077,7.29,1,0,"HD 183650 ",292.33935,31.60866
"HD 182488",0.1499,0.1778,0.1626,0.0052,282,0.76,-5.015,5.89,1,1,"HD 182488 ",290.89172,33.22197
"HD 187123",0.1518,0.1583,0.1565,0.00105,81,0.637,-5.015,5.89,1,0,"HD 187123 ",296.74213,34.41952
"HD 192020",0.4284,0.499,0.4579,0.01987,17,0.833,-4.441,0.59,1,0,"HD 192020 ",302.85466,38.40014
"HD 196850",0.1566,0.1648,0.1612,0.001,121,0.612,-4.975,5.11,1,0,"HD 196850 ",309.66746,38.63509
"HIP103269",0.1685,0.1806,0.1732,0.00411,7,0.637,-4.915,4.11,1,0,"HIP103269 ",313.81981,42.30019
"GL806",0.8217,1.302,1.037,0.09937,80,1.337,-4.819,2.88,1,0,"GL806     ",311.26708,44.49907
"HIP91699",0.5147,1.193,0.9457,0.16883,17,1.375,-4.917,4.13,1,0,"HIP91699  ",280.49598,31.83049
"HD 177153",0.1322,0.1364,0.135,0.00118,24,0.555,-5.172,9.92,1,0,"HD 177153 ",285.41533,41.49009
"HD LHS462",0.5419,0.6316,0.5904,0.02953,7,1.396,-5.153,9.35,0,0,"LHS462    ",274.51761,38.77572
"GL4063",0.9804,1.073,1.003,0.031,7,1.459,-5.012,5.83,1,0,"GL4063    ",278.65272,40.124
"HD G205-028",0.896,1.317,0.956,0.15971,6,1.39,-4.934,4.4,0,0,"G205-028  ",277.99323,40.68639
"HD 167389",0.2408,0.2892,0.2599,0.01033,16,0.589,-4.575,1.21,1,0,"HD 167389 ",273.28011,41.47536
"HD 168009",0.1466,0.1665,0.1598,0.0028,145,0.621,-4.988,5.34,1,1,"HD 168009 ",273.88526,45.20932
"HD 173701",0.1797,0.2084,0.1916,0.00684,40,0.795,-4.906,3.97,1,0,"HD 173701 ",281.14633,43.83327
"HD 179957",0.1706,0.1878,0.1753,0.0014,162,0.65,-4.91,4.02,1,0,"HD 179957 ",288.0195,49.85389
"HD 179958",0.1691,0.1761,0.172,9.3E-4,149,0.644,-4.925,4.25,1,0,"HD 179958 ",288.02094,49.85575
"HD 186408",0.1438,0.1563,0.1511,0.00201,210,0.638,-5.052,6.72,1,1,"HD 186408 ",295.45397,50.52506
"HD 186427",0.1448,0.1619,0.153,0.00172,314,0.648,-5.042,6.48,1,0,"HD 186427 ",295.46655,50.51752
"HD 185414",0.1747,0.1918,0.1834,0.00386,95,0.599,-4.848,3.2,1,0,"HD 185414 ",293.98164,56.98391
"HD 180161",0.3531,0.4115,0.3827,0.01761,33,0.77,-4.471,0.74,1,0,"HD 180161 ",288.04732,57.67198
"HD 167042",0.1437,0.1571,0.151,0.00198,168,0.926,-5.129,8.67,1,0,"HD 167042 ",272.63183,54.28655
"HD 173740",0.4309,0.8264,0.6126,0.08235,41,1.422,-5.174,9.98,1,0,"HD 173740 ",280.69539,59.62687
"HD 173739",0.3509,0.5554,0.4292,0.04389,46,1.367,-5.248,12.39,1,0,"HD 173739 ",280.6946,59.63039
"HD 199305",1.262,1.765,1.5695,0.10593,96,1.266,-4.525,0.99,1,1,"HD 199305 ",313.33245,62.15439
"HIP106924",0.1787,0.1859,0.1842,0.00277,5,0.582,-4.836,3.07,1,0,"HIP106924 ",324.81729,60.28383
"HD 218209",0.179,0.1956,0.1879,0.00432,16,0.587,-4.821,2.9,1,0,"HD 218209 ",346.27538,68.41706
"HD 218168",0.2874,0.3099,0.294,0.00741,8,0.578,-4.489,0.82,1,0,"HD 218168 ",346.00915,74.47742
"GL793",0.9543,2.023,1.497,0.22586,24,1.376,-4.719,2.01,1,0,"GL793     ",307.63352,65.44956
"HD 185144",0.1813,0.2329,0.2066,0.01044,1028,0.769,-4.84,3.11,1,1,"HD 185144 ",293.08996,69.66118
"HD 199476",0.1692,0.1761,0.1753,0.00156,30,0.638,-4.905,3.95,1,0,"HD 199476 ",312.93726,74.78033
"HD 193202",0.7112,1.068,0.9064,0.0843,78,1.274,-4.777,2.47,1,0,"HD 193202 ",302.71841,77.23897
"HD 216520",0.1713,0.2202,0.1921,0.01042,536,0.803,-4.908,4.0,1,1,"HD 216520 ",341.88282,83.69703
"HD 211681",0.1736,0.1996,0.1885,0.00857,11,0.692,-4.867,3.44,1,0,"HD 211681 ",331.70445,85.40938
"HD 225213",0.2907,0.4734,0.3489,0.0404,85,1.322,-5.269,13.09,1,0,"HD 225213 ",1.35179,-37.35736
"HD 223691",0.138,0.1487,0.1459,0.00348,7,0.703,-5.104,7.98,1,0,"HD 223691 ",357.95283,-33.45249
"HD 2025",0.2682,0.3503,0.2931,0.02447,21,0.879,-4.718,2.01,1,0,"HD 2025   ",6.10806,-27.02677
"HD 283",0.1835,0.1986,0.1937,0.00483,13,0.732,-4.866,3.42,1,0,"HD 283    ",1.88559,-23.81872
"HIP117886",1.478,2.007,1.64,0.12155,27,1.262,-4.501,0.88,1,0,"HIP117886 ",358.69294,-21.77451
"HD 224619",0.1622,0.1761,0.1638,0.00252,78,0.693,-4.988,5.36,1,1,"HD 224619 ",359.86847,-20.03471
"HD 4208",0.1908,0.1968,0.1935,0.00133,23,0.623,-4.812,2.81,1,0,"HD 4208   ",11.11104,-26.51568
"HD 3795",0.1738,0.1778,0.1768,9.8E-4,20,0.684,-4.917,4.13,1,0,"HD 3795   ",10.13664,-23.80492
"HD 4747",0.2244,0.2868,0.2492,0.01564,53,0.736,-4.694,1.85,1,1,"HD 4747   ",12.3615,-23.21246
"HD 4307",0.1414,0.1473,0.1461,0.00113,58,0.597,-5.079,7.36,1,0,"HD 4307   ",11.36953,-12.88081
"HD 217357",1.272,1.912,1.57,0.11433,57,1.32,-4.612,1.39,1,0,"HD 217357 ",345.06718,-22.52435
"HD 219834B",0.1653,0.2164,0.1778,0.01387,55,0.85,-4.985,5.29,1,1,"HD 219834B",349.77734,-13.45525
"HD 223315",0.2086,0.2333,0.2179,0.0068,11,0.705,-4.765,2.37,1,0,"HD 223315 ",357.15386,-15.21063
"HD 1388",0.1593,0.1631,0.1612,0.00113,17,0.584,-4.965,4.92,1,0,"HD 1388   ",4.49529,-13.45564
"HD 1461",0.1516,0.1689,0.159,0.00265,846,0.669,-5.009,5.76,1,1,"HD 1461   ",4.67445,-8.053
"HD 224383",0.1561,0.1586,0.157,8.3E-4,16,0.631,-5.009,5.77,1,0,"HD 224383 ",359.38966,-9.64752
"HD 220339",0.2184,0.3051,0.2312,0.01861,70,0.831,-4.81,2.78,1,1,"HD 220339 ",350.7704,-10.76424
"HD 222582",0.1633,0.1724,0.1688,0.00213,40,0.63,-4.937,4.44,1,0,"HD 222582 ",355.46471,-5.98576
"HD 10700",0.1547,0.1724,0.1674,0.00121,944,0.664,-4.958,4.8,1,0,"HD 10700  ",26.01701,-15.93748
"HD 8389",0.166,0.2271,0.1746,0.01215,70,0.855,-5.0,5.58,1,1,"HD 8389   ",20.76099,-12.96607
"HD 11964A",0.1311,0.1382,0.1366,0.00109,122,0.775,-5.171,9.88,1,0,"HD 11964A ",29.29003,-10.24243
"HD 9562",0.147,0.1531,0.1499,0.0011,48,0.619,-5.056,6.79,2,1,"HD 9562   ",23.42848,-7.02534
"HD 10008",0.3886,0.4526,0.4238,0.01347,37,0.768,-4.414,0.46,1,0,"HD 10008  ",24.39778,-6.76042
"HD 8765",0.1866,0.2058,0.1925,0.00568,32,0.687,-4.848,3.2,1,0,"HD 8765   ",21.57996,-4.67404
"HD 13612B",0.1648,0.1782,0.1728,0.00481,15,0.667,-4.93,4.33,1,0,"HD 13612B ",33.19434,-2.39633
"HIP10449",0.1763,0.1822,0.1801,0.00162,9,0.511,-4.833,3.03,1,0,"HIP10449  ",33.66791,-1.20142
"HD 16141",0.1501,0.1542,0.1515,9.5E-4,43,0.643,-5.051,6.68,1,0,"HD 16141  ",38.83304,-3.5606
"HD 16287",0.5464,0.6371,0.5745,0.02781,13,0.905,-4.415,0.46,1,0,"HD 16287  ",39.17401,-3.15614
"HD 13043",0.1552,0.165,0.1593,0.00171,154,0.606,-4.986,5.31,1,0,"HD 13043  ",31.8928,-0.61742
"GL87",0.4238,0.7503,0.6084,0.06305,69,1.294,-4.983,5.26,1,0,"GL87      ",33.08745,3.57562
"HD 4915",0.1773,0.2202,0.1887,0.01108,98,0.632,-4.838,3.08,1,1,"HD 4915   ",12.7952,-5.03928
"HD 6558",0.1598,0.1725,0.1638,0.00337,27,0.588,-4.95,4.66,1,0,"HD 6558   ",16.60716,-0.74945
"HD 6734",0.1421,0.1481,0.1459,0.00117,70,0.825,-5.116,8.31,1,0,"HD 6734   ",16.9986,1.99305
"HD 4256",0.1927,0.3043,0.2396,0.0224,233,0.955,-4.902,3.9,1,1,"HD 4256   ",11.27039,1.78552
"HD 6101",0.4676,0.5914,0.5211,0.02725,36,0.869,-4.417,0.48,0,0,"HD 6101   ",15.6023,5.06156
