Name,Smin,Smax,Smed,SSD,Nobs,B-V,logRhk,Age,I10,C,SimbadName,_RA,_DE
"HD 80367",0.1575,0.1668,0.1615,0.00303,13,0.823,-5.039,6.41,1,0,"HD 80367  ",139.86797,0.89706
"GL393",0.9087,1.398,1.065,0.10008,53,1.337,-4.807,2.76,1,0,"GL393     ",157.23146,0.841
"HD 90125",0.1538,0.1589,0.1557,0.00135,22,0.926,-5.111,8.17,1,0,"HD 90125  ",156.0549,2.36802
"HIP53020",0.9913,1.581,1.193,0.14828,14,1.471,-4.952,4.7,1,0,"HIP53020  ",162.7168,6.80813
"HIP52942A",0.1562,0.1613,0.1575,0.00118,25,0.469,-4.962,4.87,1,0,"HIP52942  ",162.40475,12.92921
"HD 91204",0.1422,0.1476,0.1461,0.00138,17,0.631,-5.088,7.59,1,0,"HD 91204  ",158.02292,17.98973
"HD 104800",0.1683,0.1721,0.1711,9.7E-4,12,0.517,-4.883,3.64,1,0,"HD 104800 ",181.02318,3.34075
"HD G60-06",0.1709,0.2075,0.1968,0.01572,8,0.866,-4.931,4.36,0,0,"G60-06    ",187.00476,7.45587
"HD 106156",0.2365,0.3199,0.2615,0.03451,13,0.763,-4.683,1.78,1,0,"HD 106156 ",183.23972,10.03772
"HD 105618",0.138,0.1431,0.1415,0.00173,7,0.695,-5.136,8.86,1,0,"HD 105618 ",182.40259,11.21158
"HD 110315",0.2786,0.3769,0.3232,0.02737,65,1.088,-4.933,4.38,1,1,"HD 110315 ",190.27702,15.37667
"HD 115404A",0.4544,0.497,0.4755,0.01122,28,0.868,-4.46,0.69,1,0,"HD 115404A",199.21271,17.01718
"HD 114762",0.1209,0.1288,0.1254,0.00208,25,0.503,-5.281,13.51,1,0,"HD 114762 ",198.08225,17.51712
"HIP60633",0.3921,0.5769,0.4446,0.03289,49,1.141,-4.872,3.5,1,0,"HIP60633  ",186.39576,21.83231
"HD 111395",0.2691,0.3509,0.3038,0.02262,16,0.684,-4.533,1.02,1,0,"HD 111395 ",192.19603,24.84023
"HD 108874",0.1475,0.1544,0.152,0.00158,57,0.714,-5.064,6.99,0,0,"HD 108874 ",187.61201,22.87983
"HD 100180",0.1615,0.1794,0.1679,0.00325,63,0.564,-4.916,4.12,1,1,"HD 100180 ",172.93727,14.3645
